Case_Id,Activity,Eventtime,Location,Delivery Compant,Subprocess
001,Submit Order,"Monday, June 5, 2023, 8:42:00 PM",,,
001,Complete Packing,"Tuesday, June 6, 2023, 4:49:00 AM",,,
001,Create Shipment,"Tuesday, June 6, 2023, 12:08:00 PM",,,
001,Ship Order,"Tuesday, June 6, 2023, 12:20:00 PM",,,
001,Arrive at Airport (CN),"Wednesday, June 7, 2023, 10:30:00 PM",,,Air Freight Processing
001,Flight Departure,"Thursday, June 8, 2023, 7:27:00 AM",,,Air Freight Processing
001,Arrive at Airport (AU),"Thursday, June 8, 2023, 12:10:00 PM",,,Air Freight Processing
001,Customs Clearance Completed,"Thursday, June 8, 2023, 1:10:00 PM",,,Air Freight Processing
001,Pick up Parcel,"Friday, June 9, 2023, 6:17:00 PM",,AUPost,Delivery (AU)
001,Onboard for Delivery,"Wednesday, June 14, 2023, 7:02:00 AM",CHULLORA NSW,AUPost,Delivery (AU)
001,Delivered to Customer,"Wednesday, June 14, 2023, 9:29:00 AM",SYDNEY,AUPost,Delivery (AU)
002,Submit Order,"Wednesday, November 15, 2023, 7:42:00 PM",,,
002,Complete Packing,"Thursday, November 16, 2023, 5:04:00 AM",,,
002,Create Shipment,"Thursday, November 16, 2023, 10:13:00 AM",,,
002,Ship Order,"Thursday, November 16, 2023, 12:09:00 PM",,,
002,Arrive at Airport (CN),"Saturday, November 18, 2023, 8:53:00 PM",,,Air Freight Processing
002,Flight departure,"Sunday, November 19, 2023, 4:31:00 AM",,,Air Freight Processing
002,Arrive at Airport (AU),"Sunday, November 19, 2023, 12:39:00 PM",,,Air Freight Processing
002,Customs Clearance Completed,"Monday, November 20, 2023, 6:18:00 AM",,,Air Freight Processing
002,Pick up Parcel,"Monday, November 20, 2023, 12:38:00 PM",SYD,PFL,Delivery (AU)
002,in Transit to next facitlity,"Wednesday, November 22, 2023, 3:35:00 AM",Sydney,PFL,Delivery (AU)
002,Onboard for Delivery,"Thursday, November 23, 2023, 7:10:00 AM",Sydney,PFL,Delivery (AU)
002,Delivered to Customer,"Thursday, November 23, 2023, 2:09:00 PM",Sydney,PFL,Delivery (AU)
003-a,Submit Order,"Sunday, November 26, 2023, 5:01:00 PM",,,
003-a,Complete Packing,"Monday, November 27, 2023, 1:47:00 AM",,,
003-a,Create Shipment,"Monday, November 27, 2023, 4:26:00 AM",,,
003-a,Ship Order,"Monday, November 27, 2023, 5:59:00 AM",,,
003-a,Arrive at Airport (CN),"Tuesday, November 28, 2023, 5:31:00 AM",,,Air Freight Processing
003-a,Flight departure,"Thursday, November 30, 2023, 4:26:00 AM",,,Air Freight Processing
